	DTHY	h
abrir paréntesis	Blh	Bb
abrochar	Bnr	s
abrochar	BoX	n
abrogar	Bo+	0
abrumador	Bpy	BR
abrumadora	Bpy	BR
abrumar	BrD	6
abrupta	Br9	9
abrupto	Br9	9
absceso	Bs6	5
abscisa	Btz	1
absolución	Buo	4
absolución	Bvg	3
absoluta	ByF	BB
absolutismo	BwX	6
absolutista	BxR	0
absoluto	ByF	BB
absolver	BzG	o
absorbente	Bzu	z
absorber	B0h	s
abstemia	B1N	/
abstemio	B1N	/
abstener	B3G	BI
abstenerse de	B2M	6
abstinencia	B4O	BW
abstinente	B5k	/
abstracción	B6j	8
abstracta	B7f	BE
abstracto	B7f	BE
abstraer	B8j	BM
abstrusa	B9v	/
abstruso	B9v	/
absurda	B+u	Bo
absurdo	B+u	Bo
abuchear	CAW	m
abuela	CA8	t
abuelo	CBp	s
abuelos	CCV	z
abultar	CDI	3
abundancia	CD/	BK
abundante	CFJ	w
abundar	CF5	BJ
aburguesarse	CHC	3
aburrida	CH5	BK
aburrido	CH5	BK
aburridor	CJ/	4
aburridora	CJD	8
aburrimiento	CK3	9
aburrir	CL0	l
aburrirse	CMZ	u
abusador	CNH	BK
abusadora	CNH	BK
abusar	COR	3
abusiva	CPI	Bc
abusivo	CPI	Bc
abuso	CQk	q
acabada	CRO	BY
acabado	CRO	BY
acabar	CUD	j
acabar	CUm	BH
acabar de inf	CSm	Bd
acabo	CVt	f
acacia	CWM	o
academia	CW0	BI
académica	CX8	3
académica	CYz	BK
académico	CYz	BK
académico	CZ9	1
acalambrarse	CbE	y
acallar	Cb2	t
acalorar	Ccj	3
acampar	Cd9	u
acantilado	Cer	BF
acaramelar	Cfw	v
acariciar	Cgf	s
acarrear	Chx	o
acaso	CiZ	f
acatar	Ci4	k
acceder	Ck2	5
acceder	CkP	n
acceder a	Cjc	z
accesibilidad	Clv	BF
accesible	Cm0	w
accesible	Cnk	w
accesible	CoU	u
acceso	CpC	9
accesoria	Cp/	Be
accesorio	Cp/	Be
accesorio	Crd	z
accidental	CsQ	BB
accidentarse	CtR	1
accidente	CuG	y
accionar	Cu4	BF
accionista	Cxm	3
accionista	Cyd	1
acción	Cv9	Bp
acción	CzS	o
acechar	Cz6	n
aceitar	C1c	j
aceite	C/z	9
aceite de almendras	C1/	BL
aceite de coco	C3K	BV
aceite de girasol	C4f	BO
aceite de hígado de bacalao	C5t	B4
aceite de mesa	C7l	/
aceite de oliva	C8k	BC
aceite de palma	C9m	BD
aceite esencial	C+p	BK
aceite vegetal	DAw	BZ
aceitosa	DCJ	7
aceitoso	DCJ	7
aceituna	DDE	u
aceitunil	DDy	k
aceituno	DEW	BI
aceleración	DFe	BB
acelerada	DGf	Bb
acelerado	DGf	Bb
acelerador	DH6	BH
acelerador	DJB	5
acelerar	DJ6	t
acelga	DKn	q
acento	DLR	/
acentuar	DMQ	BK
acepillar	DNa	BB
aceptabilidad	DOb	Be
aceptable	DP5	/
aceptación	DQ4	7
aceptar	DRz	5
acequia	DSs	2
acera	DUx	B5
acerada	DTi	BP
acerado	DTi	BP
acerca de	DWq	Bg
acercamiento	DYK	9
acercar	DZ1	n
acercarse	DZH	u
acero	Dac	m
acertar	DbC	/
acertijo	DcB	w
acetona	Dcx	s
achacosa	Ddd	BE
achacoso	Ddd	BE
achaparrada	Deh	BT
achaparrado	Deh	BT
achaque	Df0	BT
achatar	DhH	r
achicar	Dhy	6
achicharrar	Dis	8
achicoria	Djo	Bf
achique	DlH	w
achispar	Dl3	q
achuntar	Dmh	BG
acidez	Do0	BG
acidez de estómago	Dnn	BN
acidulante	DrV	9
acierto	DtS	BQ
acimut	Dui	r
aclamar	DvN	g
aclarar	Dvt	j
aclarar	Dx1	k
aclarar la voz	DwQ	5
aclararse	DxJ	s
aclimatarse	DyZ	4
aclimatarse	DzR	x
acné	D0C	s
acobardar	D0u	x
acogedor	D1f	BY
acogedora	D1f	BY
acoger	D23	BI
acogida	D3/	BL
acogotar	D5K	z
acojonar	D59	1
acometer	D6y	n
acometida	D7Z	z
acomodada	D8M	BW
acomodado	D8M	BW
acomodar	D9i	3
acompañamiento	D+Z	BC
acompañar	D/b	r
acomplejar	EBZ	9
acomplejarse	EAG	BT
acondicionar	ECW	BF
aconsejable	EEJ	BB
aconsejar	EFK	8
acontecer	EGG	2
acontecimiento	EG8	BW
acopiar	EJY	z
acoplado	EKL	x
acoplar	EK8	BC
acorazado	EL+	6
acorazar	EM4	j
acorazarse	ENb	s
acordar	EPx	p
acordarse	EPC	v
acordarse de	EOH	7
acordeón	EQa	z
acordonar	ERN	s
acorralar	ER5	BB
acortar	ES6	k
acosar	ETe	1
acoso sexual	EUT	BF
acostar	EVY	t
acostarse	EWF	Be
acostumbrada	EXj	Bw
acostumbrado	EXj	Bw
acostumbrar	Ebi	u
acostumbrar	EcQ	x
acostumbrarse	EaT	BP
acostumbrarse a	EZT	BA
acotar	EdB	j
acrecentar	Edk	w
acreditar	EeU	BA
acreedor	EgM	0
acreedora	EfU	4
acribillar	EhA	BC
acrobacia	EiC	1
acromática	Ejm	BK
acromático	Ejm	BK
acróbata	Ei3	v
acta	Ekw	BO
actitud	El+	BF
activa	Eqd	BP
activa	Ers	2
activar	EnD	n
actividad	Enq	BN
activista	Eo3	0
activista	Epr	y
activo	Eqd	BP
activo	Ers	2
acto	Esi	x
actor	EtT	s
actriz	Et/	x
actuación	Euw	Bo
actual	EwY	BU
actualidad	Exs	1
actualizar	E0C	/
actualizar	Eyh	Bh
actualmente	E1B	x
actuar	E1y	l
acuarela	E25	w
acuario	E3p	s
acuario	E4V	7
acuchillar	E7u	o
acuciar	E9L	n
acuciarse	E8W	1
acuclillarse	E9y	BL
acudir	E+9	Bh
acueducto	FAe	z
acuerdo	FBR	B5
acumulador	FDK	BM
acumular	FEW	BF
acumulativa	FFb	BT
acumulativo	FFb	BT
acunar	FGu	g
acuosa	FHO	0
acuoso	FHO	0
acupuntura	FIC	2
acurrucarse	FI4	7
acusación	FJz	BN
acusada	FLA	BK
acusado	FMK	BM
acusar	FNW	x
acusativo	FOH	z
acusete	FO6	B4
acuática	E5Q	Bj
acuático	E5Q	Bj
acá	Cay	S
acéfala	C0h	7
acéfalo	C0h	7
acídula	DsS	BA
acídulo	DsS	BA
acústica	FQy	t
adaptable	FSC	1
adaptación	FS3	5
adaptación	FTw	Bj
adaptada	FVT	BJ
adaptado	FVT	BJ
adaptador	FXw	1
adaptador ethernet	FWc	BU
adaptar	FYl	n
adecuada	FZM	BE
adecuado	FZM	BE
adefesio	FaQ	Bp
adelantada	Fb5	BT
adelantado	Fb5	BT
adelantar	FdM	r
adelante	Fd3	l
adelanto	Fec	z
adelgazar	FfP	BM
ademán	Fgb	t
ademán	FhI	s
además	Fh0	y
adentrarse	Fi7	u
adentro	Fjp	l
adepta	FkO	r
adepto	Fk5	p
aderezar	Fli	r
adeudarse	FmN	v
adherencia	Fm8	4
adherente	Fn0	t
adhesivo	FpQ	x
adhesión	Foh	v
adiabática	FqB	Ba
adiabático	FqB	Ba
adición	Frb	4
adición	FsT	t
adicta	FtA	w
adicto	FtA	w
adiestrar	Ftw	1
adinerada	Fve	BM
adinerado	Fve	BM
adiposa	FyH	8
adiposo	FyH	8
aditivo	FzD	t
adivinanza	Fzw	1
adivinar	F0l	/
adiós	Fwq	Bd
adjetivo	F1k	BP
adjunta	F2z	Ba
adjunto	F2z	Ba
administración	F4N	BC
administrador	F6S	/
administradora	F5P	BD
administrar	F7R	3
administrar	F8I	BD
admirable	F9L	x
admiración	F98	5
admirar	F+1	m
admisible	F/b	r
admitir	GAG	0
adobar	GA6	8
adobe	GB2	l
adobo	GCb	p
adobo	GDE	BA
adocenada	GEE	BP
adocenado	GEE	BP
adolescencia	GFT	5
adolescente	GGM	BG
adolescente	GHS	BU
adolescente	GIm	BV
adonde	GJ7	o
adondequiera	GKj	w
adoptar	GL4	n
adoptar	GLT	l
adoptiva	GMf	BJ
adoptivo	GMf	BJ
adoquín	GNo	z
adorable	GOb	BH
adoración	GPi	BM
adorar	GQu	1
adormecer	GRj	8
adormecerse	GSf	BB
adormitarse	GTg	6
adornada	GUa	BY
adornado	GUa	BY
adornar	GVy	o
adorno	GWa	t
adosar	GXH	j
adquirir	GXq	x
adquisición	GYb	5
adrede	GZU	h
adrenalina	GZ1	2
adscribir	Gar	9
aduana	Gbo	m
aducir	GcO	v
adueñarse	Gc9	z
adular	Gdw	v
adulta	Gl0	Bd
adulterar	GgD	By
adulterio	Gh1	z
adultez	Gki	BS
adulto	Gl0	Bd
adulto	GnR	t
adulón	Gef	w
adusta	Gn+	3
adusto	Gn+	3
adverbio	Go1	BJ
adversa	Gqz	/
adversario	Gp+	1
adverso	Gqz	/
advertencia	Gry	BO
advertir	GtA	7
adviento	Gt7	u
adyacente	Gup	8
adán	FRf	j
adén	Fim	V
adúltera	GfP	0
adúltera	Gio	BI
adúltero	Gio	BI
adúltero	Gjw	y
aeración	GwO	0
aerodinámica	Gxz	/
aerodinámica	Gyy	BZ
aerodinámico	Gyy	BZ
aeromoza	G1J	6
aeronave	G2D	z
aeronavegación	G22	BF
aeroplano	G37	y
aeroportuaria	G4t	Ba
aeroportuario	G4t	Ba
aeropuerto	G6H	2
aerosol	G69	t
aerostato	G7q	CC
aeródromo	G0L	+
afable	G9s	1
afamada	G+h	+
afamado	G+h	+
afamar	G/f	p
afanarse	HAI	BJ
afear	HC7	o
afección	HDj	v
afecta	HJX	BO
afectación	HES	BG
afectada	HFY	BC
afectada	HGa	BD
afectada	HHd	BF
afectado	HFY	BC
afectado	HGa	BD
afectado	HHd	BF
afectar	HIi	1
afecto	HJX	BO
afecto	HKl	BE
afectuosa	HMn	BZ
afectuosidad	HLp	+
afectuoso	HMn	BZ
afeitarse	HOA	q
afeminar	HOq	r
aferrar	HPV	8
afganistán	HQR	x
afianzar	HRC	q
aficionada	HRs	Bd
aficionada	HTJ	4
aficionado	HUB	BZ
aficionado	HVa	4
afición	HWS	z
afiebrarse	HXF	r
afijo	HXw	k
afilar	HZk	j
afilarse a alguien	HYU	BQ
afiliación	HaH	Bj
afiliar	Hbq	BG
afinidad	HdI	0
afirmación	Hd8	6
afirmar	He2	Bc
afirmar	Hg6	n
afirmar	HgS	o
afirmativa	Hhh	Bm
afirmativa	HjH	BO
afirmativo	Hhh	Bm
afirmativo	HjH	BO
aflicción	HkV	0
afligida	HlJ	BQ
afligido	HlJ	BQ
afligirse	HmZ	p
aflojamiento	HnC	5
aflojar	Hn7	y
aflorar	Hot	BZ
afluente	HqG	BH
afluir	HrN	o
afonía	Hsa	u
afortunada	HuA	BO
afortunado	HuA	BO
afrecho	HvO	x
afrenta	Hv/	BJ
africana	Hxx	BF
africano	Hxx	BF
afro	H22	Bh
afrodisiaca	Hy2	Ca
afrodisiaco	Hy2	Ca
afrodisíaca	Hy2	Ca
afrodisíaco	H1Q	Bm
afrodisíaco	Hy2	Ca
afrontar	H4X	7
afropeinado	H22	Bh
afta	H5S	BA
afuera	H6S	p
afueras	H67	BP
afán	HBR	p
afín	Hcw	Y
afónica	HtI	4
afónico	HtI	4
agachada	H8K	BG
agachado	H8K	BG
agacharse	H9Q	u
agalla	H+p	n
agalla	H9+	r
agallas	H/Q	y
agarrar	IA0	m
agarrarse	IAC	y
agazapar	IBa	z
agencia	IFu	/
agencia de publicidad	ICN	BV
agencia de viaje	IDi	BF
agencia de viajes	IEn	BH
agencia inmobiliaria	IGt	BU
agencia inmobiliaria	IIB	BQ
agencia matrimonial	IJR	BU
agenda	IKl	Bc
agente	IPI	p
agente	IQ5	n
agente de policía	IMB	Bl
agente de policía	INm	Bi
agente inmobiliario	IPx	BI
agilidad	IR7	1
agilizar	ISw	v
agitable	ITf	n
agitación	IUG	BH
agitada	IVN	Bg
agitado	IVN	Bg
agitador	IWt	BF
agitar	IXy	BA
aglomeración	IYy	BU
aglomerado	IaG	4
aglomerar	Ia+	r
agnosticismo	Ice	+
agnóstica	Ibp	1
agnóstica	Idc	BG
agnóstico	Idc	BG
agnóstico	Iei	z
agobiar	IfV	p
agobio	If+	v
agonizar	Ihw	t
agonía	Igt	BD
agosto	Iid	o
agotable	IjF	t
agotada	Ijy	BU
agotado	Ijy	BU
agotador	IlG	BM
agotadora	IlG	BM
agotamiento	ImS	7
agotar	IoL	l
agotar	Iow	Bf
agotarse	InN	+
agradable	Iq8	BP
agradable	IqP	t
agradar	IsL	7
agradecer	ItG	w
agradecida	It2	BR
agradecido	It2	BR
agradecimiento	IvH	BF
agrado	IwM	s
agrandar	Iw4	s
agraria	Iy+	BV
agrario	Iy+	BV
agravación	I0T	/
agravamiento	I1S	BC
agravar	I2U	s
agredir	I3A	o
agregación	I3o	6
agregado	I4i	y
agregar	I5U	l
agresiva	I8D	BH
agresividad	I7C	BB
agresivo	I8D	BH
agresión	I55	BJ
agresor	I9K	x
agria	JCi	x
agria	JDT	5
agricultor	I+t	BJ
agricultura	I/2	+
agridulce	JA0	BB
agrietar	JB1	t
agrio	JCi	x
agrio	JDT	5
agrupación	JE8	6
agrupar	JF2	o
agrícola	I97	y
agrónomo	JEM	w
agua	JOh	k
agua bendita	JGe	7
agua del grifo	JJn	BF
agua dulce	JMs	5
agua mineral	JP7	BA
agua potable	JTu	8
agua salada	JYI	5
aguacate	JHZ	v
aguacero	JII	Bf
aguada	JKs	BI
aguada	JL0	4
aguado	JKs	BI
aguado	JL0	4
aguafiestas	JNl	8
aguamarina	JPF	2
aguantable	JQ7	v
aguantar	JRq	3
aguante	JSh	BN
aguar	JXN	7
aguardar	JUq	3
aguardiente	JVh	4
aguarrás	JWZ	0
aguda	Ja7	BG
agudeza	JZB	w
agudizar	JZx	BK
agudo	Ja7	BG
aguerrida	JdX	BN
aguerrida	Jek	B0
aguerrido	JdX	BN
aguerrido	Jek	B0
aguijar	JgY	l
aguijonear	Jg9	5
aguijón	Jh2	t
aguinaldo	JjK	Bs
aguja	Jk2	l
agujero	Jlb	r
agusanarse	Jm1	1
agusanarse	JmG	v
aguzar	Jnq	l
agüero	JcB	BW
ahijada	Jop	x
ahijado	Jpa	u
ahijado	JqI	u
ahogador	Jq2	BI
ahogadora	Jq2	BI
ahogamiento	Jr+	4
ahogar	JuA	BC
ahogarse	Js2	BK
ahondar	Jvv	k
ahondarse	JvC	t
ahora	JwT	W
ahora que	Jwp	j
ahorcar	JxM	z
ahorita	Jx/	l
ahorrar	Jyk	u
ahorrar	JzS	s
ahorrativa	Jz+	BL
ahorrativo	Jz+	BL
ahorro	J1J	r
ahorros	J10	3
ahoyar	J2r	k
ahuecar	J3P	BB
ahumada	J4Q	/
ahumado	J4Q	/
ahumar	J5P	e
ahuyentar	J5t	2
ahí	JoP	a
aikido	J6j	p
aindiada	J7M	BL
aindiado	J7M	BL
airbag	J8X	r
airbus	J9C	q
aire	J+6	j
aire acondicionado	J9s	BO
aislada	J/d	BM
aislado	J/d	BM
aislamiento	KAp	BX
aislar	KCA	i
ajedrez	DQQ5	BJ
ajedrez	KCi	u
ajena	KER	4
ajena a	KDQ	BB
ajena de	KFJ	BL
ajeno	KER	4
ajeno a	KDQ	BB
ajeno de	KFJ	BL
ajete	KGU	v
ajiaceite	MQs	Bg
ajillo	KHD	v
ajo	KIx	k
ajonjolí	KJV	u
ajuar	KKD	p
ajustada	KKs	BW
ajustado	KKs	BW
ajustar	KMC	0
ajuste	KM2	/
ají	KHy	/
al	Nnf	s
al aire libre	KVC	/
al ajillo	KYo	q
al amanecer	KZz	Bf
al anochecer	KeE	/
al borde	K04	h
al cabo de	K3h	j
al cabo de un rato	K4E	/
al chocar	LEo	x
al contrario	LIe	t
al estallar la guerra	Lm/	BK
al fin	LxW	f
al fin y al cabo	Lx1	BP
al gusto	MDs	m
al horno	MES	n
al lado de	MV+	k
al lote	MW8	BP
al menos	Met	n
al menos	Mf1	x
al menos	MfU	h
al por menor	M9p	s
al principio	M+V	n
al revés	NEI	6
al revés	NFC	q
ala	KSo	BH
ala	KTv	i
ala de la nariz	KQ8	BE
alabanza	KN1	s
alabar	KOh	g
alacrán	KQN	v
alambique	KbS	4
alambre	KcK	p
alameda	Kcz	r
alardear	Kfs	j
alargar	KgP	p
alarido	Khp	v
alarma	Kjd	n
alarma	KkE	/
alarmada	KiY	BF
alarmado	KiY	BF
alarmante	KlD	t
alarmar	Klw	n
alba	KmX	p
albahaca	KnA	w
albana	Krv	3
albanesa	Knw	BV
albania	KqV	s
albano	Krv	3
albanés	Knw	BV
albanés	KpF	BQ
albaricoque	Ksm	2
albaricoquero	Ktc	BC
albatros	Kue	v
albañil	KrB	u
albergue	KwJ	v
albergue juvenil	KvN	8
albino	Kw4	o
albornoz	K1Z	0
alboroto	K2N	u
albóndiga	Kxg	CE
albóndiga	Kzk	BU
alcachofa	K5D	1
alcalde	K54	y
alcaldesa	K6q	6
alcaldía	K7k	Be
alcance	K9C	u
alcanfor	K9w	v
alcantarilla	K/k	3
alcantarillado	K+f	BF
alcanzable	LAb	v
alcanzar	LBK	o
alcatraz	LBy	3
alcazuz	LDW	w
alce	LEG	i
alcohol	LHz	r
alcohol de quemar	LFZ	BI
alcoholismo	LGh	BS
alcornoque	LJL	0
alcurnia	LJ/	w
alcázar	LCp	t
aldea	LKv	k
aldeano	LLT	y
alear	LMF	4
aleatoria	LM9	BM
aleatorio	LM9	BM
alegar	LOJ	q
alegato	LOz	v
alegoría	LPi	z
alegrar	LQV	i
alegrarse	LQ3	p
alegre	LRg	x
alegría	LSR	u
alejada	LS/	BO
alejado	LS/	BO
alejandría	LUN	p
alejar	LVi	j
alejarse	LU2	s
aleluya	LW0	v
aleluya	LWF	v
alemana	LXj	t
alemana	LYQ	BQ
alemania	LZg	y
alemania del este	Lcb	CB
alemania del oeste	LaS	CJ
alemania occidental	LaS	CJ
alemania oriental	Lcb	CB
alemán	LYQ	BQ
alemán	Lec	t
alemán	LfJ	BJ
alentador	LgS	BM
alentadora	LgS	BM
alentar	Lhe	l
alerce	LiD	BE
alergia	LjH	s
alero	Llx	q
alerta	Lmb	k
aleta	LoJ	l
aletear	LMF	4
alfabetización	Lp4	BJ
alfabetizar	Lr8	3
alfabetizar	LrB	7
alfabeto	Lsz	w
alfabética	Lou	BK
alfabético	Lou	BK
alfajor	Ltj	+
alfalfa	Luh	/
alfil	Lwn	v
alfiler	Lvg	BH
alfombra	LzE	t
alforfón	Lzx	z
alga	L0k	BG
algarabía	L1q	1
algo	L8y	s
algo	L9e	1
algo diferente	L4T	4
algodón	L6Z	x
algodón	L7K	7
algodón	L8F	t
algodón azucarado	L5L	BO
alguien	L+T	b
alguna	L/Q	p
alguna	MAq	Bl
alguna vez	L/5	x
algunas	MC6	y
alguno	MAq	Bl
alguno	MCP	r
algunos	MC6	y
algún	L+u	i
algún	MAq	Bl
aliado	ME5	u
alianza	MFn	BI
aliar	MGv	g
alias	MHP	z
alicate	MIC	v
aliento	MIx	o
alimentación	MJZ	9
alimentar	MKW	p
alimenticia	MK/	BO
alimenticio	MK/	BO
alimento	MMN	v
alimentos	MM8	+
alinear	MPf	l
alioli	MQs	Bg
alisar	MSM	i
aliso	MSu	6
alistar	MTo	l
aliviar	MUN	o
alivio	MU1	v
aliñada	MN6	BC
aliñado	MN6	BC
aliñar	MO8	j
aliño	MQE	o
allá	MVk	a
allí	MWi	a
alma	MZh	i
almacenar	MYL	q
almacén	MY1	s
almanaque	MaD	w
almeja	Maz	t
almena	Mbg	m
almendra	McG	t
almendro	Md8	x
almendro amargo	Mcz	BJ
almeriense	Mgm	r
almidonar	Mh8	0
almidón	Miw	u
alminar	Mje	u
almirante	MkM	x
almohada	Mk9	t
almohadillado	Mlq	w
almohadón	Mma	w
almorzar	Mn5	r
almorzar	MnK	v
almuecín	Mok	w
almuerzo	MrS	y
almuerzo	MsE	Bu
almuerzo de trabajo	MqE	BO
almuédano	MpU	w
almíbar	MhR	r
aloe	Mty	4
alojamiento	MvT	4
alojar	MwL	m
alondra	M1D	q
alondra común	Mz7	BI
alpaca	M2z	n
alpargata	M3a	1
alpina	M7w	x
alpinismo	M4P	BK
alpinista	M5Z	t
alpinista	M68	0
alpinista	M6G	2
alpino	M7w	x
alpiste	M8h	BI
alquilada	M+8	BU
alquilado	M+8	BU
alquilar	NAQ	z
alquiler	NBD	s
alquitrán	NBv	u
alrededor	NDU	0
alrededor de	NCd	3
alta	NU9	+
alta	NV7	o
alta baviera	NFs	8
alta fidelidad	NGo	Bm
altanera	NIO	BC
altanero	NIO	BC
altar	NJQ	l
altavoz	NJ1	z
alterable	NKo	q
alteración	NLS	BS
alterada	NMk	BV
alterado	NMk	BV
alterar	NOn	n
alterarse	NN5	u
alternar	NPO	q
alternativa	NP4	6
alternativa	NQy	BS
alternativo	NQy	BS
alteza	NSE	o
altiplano	NTh	y
altitud	NUT	q
alto	NU9	+
alto	NV7	o
alto	NWj	h
alto volta	NYf	6
altoparlante	NXE	Bb
altruista	NZZ	u
altura	ERIP	Bp
altura	NaH	n
altímetro	NSs	1
alubia	Nau	n
alucinación	NbV	/
alucinar	NcU	s
alucinógena	NdA	BU
alucinógeno	NdA	BU
alud	Ne3	j
aludir	NeU	j
alumbrada	Nfa	BK
alumbrado	Nfa	BK
alumbrar	Ngk	n
aluminio	NhL	w
alumna	Nh7	r
alumno	Nim	p
alusión	NjP	v
aluvión	Nj+	BE
aluvión	NlC	BI
alzamiento	NmK	1
alzar	Nm/	g
alá	KZS	h
alérgica	Ljz	BC
alérgica	Lk1	8
alérgico	Ljz	BC
alérgico	Lk1	8
ama	Ntz	h
ama de casa	Nqt	2
ama de llaves	Nrj	BA
amabilidad	NoL	BB
amable	NpM	5
amada	NqF	o
amado	Nsj	p
amaestrar	NtM	n
amalgama	NuU	v
amamantar	NvD	x
amanecer	Nv0	BT
amanecer	Nx8	2
amanecer	NxH	1
amanecer	Nyy	0
amanerada	Nzm	BH
amanerado	Nzm	BH
amansar	N1I	k
amante	N1s	BC
amante	N2u	BR
amantes	N3/	BL
amapola	N5K	BW
amar	OCg	W
amaranto	N6g	w
amaranto	N7Q	+
amarga	N+R	2
amargada	N8O	BI
amargado	N8O	BI
amargarse	N9W	7
amargo	N+R	2
amargura	N/H	BL
amarilla	OBi	+
amarillenta	OAS	BQ
amarillento	OAS	BQ
amarillo	OBi	+
amarra	OC2	Bi
amarrar	OEY	0
amasar	OFM	c
amatista	OFo	v
amazona	OGX	BM
amazona	OHj	u
amberes	OI7	BU
ambiciosa	OK/	BH
ambiciosa	OMG	BW
ambicioso	OK/	BH
ambicioso	OMG	BW
ambición	OKP	w
ambientar	ONc	k
ambiente	OOA	m
ambiente	OOm	u
ambiente	OPU	BE
ambigua	ORW	8
ambiguo	ORW	8
ambigüedad	OQY	+
ambo	OT5	p
ambos	OU+	j
ambos	OUi	c
ambulancia	OVh	4
ambulante	OWZ	BI
ameba	OXh	m
amena	OdF	Ba
amenaza	Oah	v
amenazar	ObQ	j
amenazar	Obz	w
ameno	OdF	Ba
americana	OoM	BK
americanismo	OnN	/
americano	OoM	BK
ametralladora	OpW	BF
ametrallar	Oqb	BE
amianto	Orf	p
amiga	Osy	o
amiga	Ota	+
amigable	OsI	q
amigdalitis	OvR	BA
amigo	OwR	m
amistad	O0h	x
amistosa	O1S	BI
amistoso	O1S	BI
amnesia	O2a	BK
amnistía	O3k	BJ
amo	O63	f
amo de	O6V	i
amoblada	O4t	BF
amoblado	O4t	BF
amoblar	O5y	j
amoniaco	O7W	v
amor	O+J	j
amoral	O8F	n
amordazar	O8s	m
amorfa	O9S	3
amorfo	O9S	3
amorosa	O+s	BS
amoroso	O+s	BS
amortiguador	O/+	BC
amortización	PBA	BW
amortizar	PCW	q
amparar	PDA	0
ampararse	PD0	/
amparo	PEz	o
amperio	PGW	q
amperímetro	PFb	7
