Hakusana	Homonymia	Sanaluokka	Taivutustiedot
aivot		substantiivi	1
aivotoiminta		substantiivi	
aivoton		adjektiivi	34*C
aivotrusti		substantiivi	
aivottomuus		substantiivi	40
aivotulehdus		substantiivi	
aivotuonti		substantiivi	
aivoturso		substantiivi	
aivotutkija		substantiivi	
aivotutkimus		substantiivi	
aivotyö		substantiivi	
aivotärähdys		substantiivi	
aivovamma		substantiivi	
aivovammainen		adjektiivi, substantiivi	
aivovaurio		substantiivi	
aivoverenkierto		substantiivi	
aivoverenvuoto		substantiivi	
aivoveritulppa		substantiivi	
aivovienti		substantiivi	
aivovoimistelu		substantiivi	
aivovuoto		substantiivi	
ajaa		verbi	56
ajaantua		verbi	52*J
ajaja		substantiivi	10
ajallaan		adverbi	99
ajallinen		adjektiivi	38
ajallisesti		adverbi	99
ajallisuus		substantiivi	40
ajanhaaskaus		substantiivi	
ajanhaaskuu		substantiivi	
ajanhallinta		substantiivi	
ajanhetki		substantiivi	
ajanhukka		substantiivi	
ajanjako		substantiivi	
ajanjakso		substantiivi	
ajankohta		substantiivi	10*F
ajankohtainen		adjektiivi	
ajankohtaisohjelma		substantiivi	
ajankohtaistaa		verbi	53
ajankohtaistua		verbi	52
ajankohtaisuus		substantiivi	
ajankulu		substantiivi	
ajankuluke		substantiivi	48*A
ajankuva		substantiivi	
ajankuvaus		substantiivi	
ajankäyttö		substantiivi	
ajanlasku		substantiivi	
ajan mittaan			99
ajanmittaus		substantiivi	
ajanmukainen		adjektiivi	
ajanmukaisesti		adverbi	
ajanmukaistaa		verbi	53
ajanmukaistua		verbi	52
ajanmukaisuus		substantiivi	40
ajanmääritys		substantiivi	
ajanottaja		substantiivi	
ajanotto		substantiivi	
ajanpeluu		substantiivi	
ajanpuute		substantiivi	
ajansäästö		substantiivi	
ajantaju		substantiivi	
ajantasainen		adjektiivi	
ajantasaistaa		verbi	53
ajantasaistus		substantiivi	39
ajantasaisuus		substantiivi	40
ajantasajärjestelmä		substantiivi	
ajantasakäsittely		substantiivi	
ajan tasalla		adverbi	99
ajantilaus		substantiivi	
ajantuhlaus		substantiivi	
ajanvaraus		substantiivi	
ajanvarausjärjestelmä		substantiivi	
ajanviete		substantiivi	48*C
ajanvieteautomaatti		substantiivi	
ajanvietekirja		substantiivi	
ajanvietelehti		substantiivi	
ajanvieteohjelma		substantiivi	
ajanvietepeli		substantiivi	
ajanvietteellinen		adjektiivi	38
ajanvietto		substantiivi	
ajassa		adverbi	99
